symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,256,2,128.0,2,20,43.21425,142.24664,76.04338989257802,4.239629,3.9273498
False,256,2,128.0,2,20,34.329296,80.991005,64.99511051177974,4.019824,2.993366
True,256,2,128.0,2,21,23.89844,56.78141,64.82063484191883,3.4562752,2.4414961
False,256,2,128.0,2,21,39.24393,108.661064,62.45156593322749,4.2088456,3.3698595
True,256,2,128.0,2,22,54.17672,125.96622,136.51822433471676,4.9938297,3.8717997
False,256,2,128.0,2,22,37.434357,85.117294,85.58257675170874,4.2456384,3.0897822
True,256,2,128.0,2,23,27.24907,54.220078,71.24221839904766,3.769735,2.5576034
False,256,2,128.0,2,23,33.855316,77.01321,67.7426303863525,4.0391984,2.882075
True,256,2,128.0,2,24,41.366863,64.8951,144.09355239868162,4.658352,3.1150184
False,256,2,128.0,2,24,63.154465,347.32748,75.6555461883544,4.4904413,5.2621455
True,256,2,128.0,2,25,20.73662,24.623537,65.05554466247541,3.4347184,1.8443017
False,256,2,128.0,2,25,70.38473,335.69006,83.46642417907711,4.776627,5.531422
True,256,2,128.0,2,26,31.603863,43.782223,63.84609985351553,4.262473,2.14083
False,256,2,128.0,2,26,33.963856,84.56233,65.07738304138184,4.048931,2.9541574
True,256,2,128.0,2,27,28.749834,64.38136,90.66532554626431,3.666036,2.8526351
False,256,2,128.0,2,27,54.923023,208.55687,89.0737167358398,4.626962,4.4183235
True,256,2,128.0,2,28,29.456518,33.013397,117.78743858337371,4.0714307,2.2675428
False,256,2,128.0,2,28,70.28838,367.27643,82.09966659545883,4.6081986,5.673052
True,256,2,128.0,2,29,31.236494,94.69815,68.23091011047359,3.6779208,3.0849102
False,256,2,128.0,2,29,64.15436,310.16568,69.14344749450683,4.6510615,5.1678047
True,256,2,128.0,2,30,27.499008,49.334385,102.72015533447261,3.703329,2.5564265
False,256,2,128.0,2,30,28.600903,70.38546,78.15905971527066,3.6391122,2.8331137
True,256,2,128.0,2,31,35.10424,66.71907,132.1076942443843,4.0521255,3.090156
False,256,2,128.0,2,31,36.423466,96.393196,62.34297809600826,4.078176,3.2224965
True,256,2,128.0,2,32,37.80333,113.7361,70.27211723327636,4.230347,3.127785
False,256,2,128.0,2,32,54.61156,244.57031,76.37722091674799,4.433267,4.6336846
True,256,2,128.0,2,33,35.182846,63.50225,125.0187644958493,4.2164593,3.0048702
False,256,2,128.0,2,33,41.877888,143.2664,68.62307357788073,4.224678,3.6675994
True,256,2,128.0,2,34,26.56696,52.279213,83.98364486694308,3.6528728,2.6065042
False,256,2,128.0,2,34,33.307365,75.38596,64.67726612091063,4.057049,2.862889
True,256,2,128.0,2,35,28.949043,48.230717,68.35533638000486,3.990625,2.3325016
False,256,2,128.0,2,35,68.73779,250.59581,118.0481018066406,5.3806524,4.696212
True,256,2,128.0,2,36,48.47685,151.47609,84.00414199829089,4.532453,3.949966
False,256,2,128.0,2,36,24.031576,34.20406,58.52561683654782,3.6242108,2.0850744
True,256,2,128.0,2,37,30.274685,64.725914,76.40170326232906,3.9259493,2.6446018
False,256,2,128.0,2,37,54.289932,233.29128,79.17423057556152,4.5790596,4.420398
True,256,2,128.0,2,38,37.60644,94.02226,54.57131347656246,4.2802505,3.0144298
False,256,2,128.0,2,38,43.32594,139.24638,96.62094993591285,4.331702,3.6757648
True,256,2,128.0,2,39,29.273336,100.80719,63.4439981460571,3.535735,3.1414177
False,256,2,128.0,2,39,44.494812,147.92163,67.1686538696289,4.329047,3.8035676
True,256,2,128.0,2,40,43.985695,121.210526,64.33716831207273,4.4136724,3.6045399
False,256,2,128.0,2,40,34.245434,86.552444,63.35571460723877,4.047147,2.9786513
True,256,2,128.0,2,41,22.932926,34.522358,84.47447166442856,3.4789824,2.30189
False,256,2,128.0,2,41,37.21924,102.44846,59.63414821624755,4.1553354,3.2224975
True,256,2,128.0,2,42,22.025867,30.319035,68.34356231689452,3.4903047,2.0683293
False,256,2,128.0,2,42,31.31822,68.980385,68.33434314727765,3.9461656,2.7835033
True,256,2,128.0,2,43,44.559303,104.86868,109.18764076232885,4.5046787,3.4822125
False,256,2,128.0,2,43,28.71135,73.84717,48.666354942321746,3.668233,2.7774115
